6391253,11904260627,"2019-04-26 20:52:00",10,black
6391252,11904260626,"2019-04-26 20:50:00",17,grey
6391251,11904260625,"2019-04-26 20:48:00",2,grey
6391250,11904260624,"2019-04-26 20:46:00",3,red
6391249,11904260623,"2019-04-26 20:44:00",5,grey
6391248,11904260622,"2019-04-26 20:42:00",14,grey
6391247,11904260621,"2019-04-26 20:40:00",1,black
6391246,11904260620,"2019-04-26 20:38:00",10,black
6391245,11904260619,"2019-04-26 20:36:00",2,grey
6391244,11904260618,"2019-04-26 20:34:00",9,red
6391243,11904260617,"2019-04-26 20:32:00",14,grey
6391242,11904260616,"2019-04-26 20:30:00",6,red
6391241,11904260615,"2019-04-26 20:28:00",12,red
6391240,11904260614,"2019-04-26 20:26:00",10,black
6391239,11904260613,"2019-04-26 20:24:00",4,black
6391238,11904260612,"2019-04-26 20:22:00",3,red
6391237,11904260611,"2019-04-26 20:20:00",8,grey
6391236,11904260610,"2019-04-26 20:18:00",4,black
6391235,11904260609,"2019-04-26 20:16:00",11,grey
6391234,11904260608,"2019-04-26 20:14:00",8,grey
6391233,11904260607,"2019-04-26 20:12:00",13,black
6391232,11904260606,"2019-04-26 20:10:00",1,black
6391231,11904260605,"2019-04-26 20:08:00",14,grey
6391230,11904260604,"2019-04-26 20:06:00",5,grey
6391229,11904260603,"2019-04-26 20:04:00",15,red
6391228,11904260602,"2019-04-26 20:02:00",5,grey
6391227,11904260601,"2019-04-26 20:00:00",15,red
6391226,11904260600,"2019-04-26 19:58:00",4,black
6391225,11904260599,"2019-04-26 19:56:00",11,grey
6391224,11904260598,"2019-04-26 19:54:00",10,black
6391223,11904260597,"2019-04-26 19:52:00",15,red
6391222,11904260596,"2019-04-26 19:50:00",15,red
6391221,11904260595,"2019-04-26 19:48:00",12,red
6391220,11904260594,"2019-04-26 19:46:00",9,red
6391219,11904260593,"2019-04-26 19:44:00",18,red
6391218,11904260592,"2019-04-26 19:42:00",17,grey
6391217,11904260591,"2019-04-26 19:40:00",11,grey
6391216,11904260590,"2019-04-26 19:38:00",11,grey
6391215,11904260589,"2019-04-26 19:36:00",16,black
6391214,11904260588,"2019-04-26 19:34:00",16,black
6391213,11904260587,"2019-04-26 19:32:00",13,black
6391212,11904260586,"2019-04-26 19:30:00",2,grey
6391211,11904260585,"2019-04-26 19:28:00",3,red
6391210,11904260584,"2019-04-26 19:26:00",17,grey
6391209,11904260583,"2019-04-26 19:24:00",8,grey
6391208,11904260582,"2019-04-26 19:22:00",4,black
6391207,11904260581,"2019-04-26 19:20:00",4,black
6391206,11904260580,"2019-04-26 19:18:00",3,red
6391205,11904260579,"2019-04-26 19:16:00",3,red
6391204,11904260578,"2019-04-26 19:14:00",17,grey
6391203,11904260577,"2019-04-26 19:12:00",9,red
6391202,11904260576,"2019-04-26 19:10:00",3,red
6391201,11904260575,"2019-04-26 19:08:00",13,black
6391200,11904260574,"2019-04-26 19:06:00",6,red
6391199,11904260573,"2019-04-26 19:04:00",16,black
6391198,11904260572,"2019-04-26 19:02:00",5,grey
6391197,11904260571,"2019-04-26 19:00:00",0,white
6391196,11904260570,"2019-04-26 18:58:00",18,red
6391195,11904260569,"2019-04-26 18:56:00",4,black
6391194,11904260568,"2019-04-26 18:54:00",10,black
6391193,11904260567,"2019-04-26 18:52:00",8,grey
6391192,11904260566,"2019-04-26 18:50:00",15,red
6391191,11904260565,"2019-04-26 18:48:00",11,grey
6391190,11904260564,"2019-04-26 18:46:00",5,grey
6391189,11904260563,"2019-04-26 18:44:00",0,white
6391188,11904260562,"2019-04-26 18:42:00",15,red
6391187,11904260561,"2019-04-26 18:40:00",6,red
6391186,11904260560,"2019-04-26 18:38:00",6,red
6391185,11904260559,"2019-04-26 18:36:00",18,red
6391184,11904260558,"2019-04-26 18:34:00",14,grey
6391183,11904260557,"2019-04-26 18:32:00",13,black
6391182,11904260556,"2019-04-26 18:30:00",13,black
6391181,11904260555,"2019-04-26 18:28:00",4,black
6391180,11904260554,"2019-04-26 18:26:00",11,grey
6391179,11904260553,"2019-04-26 18:24:00",7,black
6391178,11904260552,"2019-04-26 18:22:00",4,black
6391177,11904260551,"2019-04-26 18:20:00",11,grey
6391176,11904260550,"2019-04-26 18:18:00",1,black
6391175,11904260549,"2019-04-26 18:16:00",11,grey
6391174,11904260548,"2019-04-26 18:14:00",7,black
6391173,11904260547,"2019-04-26 18:12:00",0,white
6391172,11904260546,"2019-04-26 18:10:00",1,black
6391171,11904260545,"2019-04-26 18:08:00",2,grey
6391170,11904260544,"2019-04-26 18:06:00",18,red
6391169,11904260543,"2019-04-26 18:04:00",5,grey
6391168,11904260542,"2019-04-26 18:02:00",7,black
6391167,11904260541,"2019-04-26 18:00:00",14,grey
6391166,11904260540,"2019-04-26 17:58:00",11,grey
6391165,11904260539,"2019-04-26 17:56:00",6,red
6391164,11904260538,"2019-04-26 17:54:00",15,red
6391163,11904260537,"2019-04-26 17:52:00",7,black
6391162,11904260536,"2019-04-26 17:50:00",17,grey
